Name,Author,Avg Rating,Rating Count,Score,Vote Count
Redwall (Redwall\, #1),Brian Jacques,4.14,123035,88.0,2
The World of Winnie-the-Pooh (Winnie-the-Pooh\, #1-2),A.A. Milne,4.42,47987,88.0,0
Pascali's Island,Barry Unsworth,3.51,408,87.0,0
Marianne Dreams (The Magic Drawing Pencil\, #1),Catherine Storr,4.14,1496,86.0,0
Mattimeo (Redwall\, #3),Brian Jacques,4.08,36206,85.0,2
A Good Year,Peter Mayle,3.7,9959,84.0,0
Journey to the Center of the Earth,Jules Verne,3.85,208772,84.0,2
The Polar Express,Chris Van Allsburg,4.32,243448,84.0,0
Shane,Jack Schaefer,3.94,13672,83.0,0
The Beans of Egypt\, Maine,Carolyn Chute,3.58,3742,81.0,2
The Millennium Trilogy (Millennium Trilogy\, #1-3),Stieg Larsson,4.47,56314,81.0,2
عدالة السماء (Hercule Poirot\, #25),Agatha Christie,4.03,80825,80.0,2
Waking the Dead,Scott   Spencer,3.84,454,80.0,0
The Incredible Journey,Sheila Burnford,4.16,51999,80.0,0
Communion: A True Story,Whitley Strieber,0.0,0,79.0,2
Quiet American,Graham Greene,3.97,65850,79.0,0
Demon Seed,Dean Koontz,0.0,0,78.0,0
The Private Life of Sherlock Holmes,Michael Hardwick,3.7,143,78.0,0
The Journey (Guardians of Ga'Hoole\, #2),Kathryn Lasky,4.02,14866,78.0,0
Fair Game: My Life as a Spy\, My Betrayal by the White House,Valerie Plame Wilson,3.58,2791,77.0,2
The Rescue (Guardians of Ga'Hoole\, #3),Kathryn Lasky,4.08,13015,77.0,0
Raintree County,Ross Lockridge Jr.,3.98,1092,75.0,2
Red Dog,Louis de Bernières,3.8,4247,75.0,0
’Salem’s Lot,Stephen        King,0.0,0,75.0,2
The Entity,Frank De Felitta,3.76,2002,74.0,0
Blue Dog,Louis de Bernières,3.95,970,74.0,0
The Chosen (Reuven Malther\, #1),Chaim Potok,4.07,94873,73.0,0
The Fixer,Bernard Malamud,3.98,11570,73.0,0
The Septembers of Shiraz,Dalia Sofer,3.83,8198,73.0,0
The Brothers Lionheart,Astrid Lindgren,4.35,39052,72.0,0
The Descendants,Kaui Hart Hemmings,0.0,0,72.0,0
A Wrinkle in Time (A Wrinkle in Time Quintet\, #1),Madeleine L'Engle,3.98,1230304,72.0,0
Hideaway,Dean Koontz,0.0,0,71.0,0
The Blackboard Jungle,Evan Hunter,3.92,798,69.0,2
Summer of Fear,Lois Duncan,3.82,5661,68.0,0
Basil of Baker Street (Basil of Baker Street\, #1),Eve Titus,3.92,2562,68.0,0
Primary Colors,Anonymous,3.62,6050,67.0,2
The 101 Dalmatians (The Hundred and One Dalmatians\, #1),Dodie Smith,4.12,37431,67.0,0
The Little White Horse,Elizabeth Goudge,4.09,14308,66.0,0
Watchmen,Alan             Moore,0.0,0,66.0,0
The Deep End of the Ocean (Cappadora Family\, #1),Jacquelyn Mitchard,0.0,0,65.0,0
The Little Mermaid,Hans Christian Andersen,3.97,29738,65.0,0
The Fury,John Farris,3.29,670,64.0,0
Captains Courageous,Rudyard Kipling,3.86,21731,64.0,0
The Miniaturist,Jessie Burton,3.62,146874,64.0,0
2010: Odyssey Two,Arthur C. Clarke,3.95,58708,63.0,0
A High Wind in Jamaica,Richard Hughes,3.77,10104,62.0,0
The Day of the Jackal,Frederick Forsyth,4.27,136803,62.0,3
The Grifters,Jim Thompson,3.93,11727,62.0,2
The Bookshop,Penelope Fitzgerald,3.28,24837,62.0,0
The White Tower,James Ramsey Ullman,3.76,75,61.0,0
The Queen's Necklace,Alexandre Dumas,3.87,2019,61.0,0
Simon vs the Homo Sapiens Agenda,Becky Albertalli,0.0,0,61.0,0
